settlement_id,settlement_date,transaction_id,order_id,amount,fee,tax,settlement_amount,status,payment_method
SETL001,2026-08-01,pay_ABC001,ord_001,10000.00,200.00,36.00,9764.00,settled,UPI
SETL001,2026-08-01,pay_ABC002,ord_002,5000.00,100.00,18.00,4882.00,settled,Card
SETL002,2026-08-03,pay_ABC003,ord_003,15000.00,300.00,54.00,14646.00,settled,NetBanking
SETL002,2026-08-03,pay_ABC004,ord_004,8000.00,160.00,28.80,7811.20,settled,UPI
SETL003,2026-08-05,pay_ABC005,ord_005,20000.00,400.00,72.00,0.00,pending,Card
SETL003,2026-08-05,pay_ABC006,ord_006,12000.00,240.00,43.20,0.00,pending,UPI
SETL004,2026-08-07,pay_ABC007,ord_007,6000.00,120.00,21.60,5858.40,settled,Card
SETL004,2026-08-07,pay_ABC008,ord_008,9000.00,180.00,32.40,8787.60,settled,NetBanking
SETL005,2026-08-09,pay_ABC009,ord_009,25000.00,500.00,90.00,24410.00,settled,Card
SETL005,2026-08-10,pay_ABC010,ord_010,3000.00,60.00,10.80,2929.20,settled,UPI
SETL006,2026-08-12,pay_ABC011,ord_011,18000.00,360.00,64.80,0.00,on_hold,Card
SETL006,2026-08-12,pay_ABC012,ord_012,7500.00,150.00,27.00,0.00,on_hold,NetBanking
SETL007,2026-08-14,pay_ABC013,ord_013,11000.00,220.00,39.60,10740.40,settled,UPI
SETL007,2026-08-15,pay_ABC014,ord_014,4500.00,90.00,16.20,4393.80,settled,Card
SETL008,2026-08-17,pay_ABC015,ord_015,30000.00,600.00,108.00,29292.00,settled,NetBanking
